transaction_id,transaction_date,Year,Quarter_Name,Month_Number,Month_Name,Week_Number,Day_Number,Day_Name,Week_Type,Time_of_Transaction,Time_Buckets,Hour,Minute,transaction_qty,Order_Size,store_id,store_location,product_id,unit_price,unit_price_clean,total_amount,Spending_Level,product_category,product_type,product_category,product_detail
11,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,07:43:05,Dawn,7,43,1,Single,5,Lower Manhattan,56,"2,55",2.55,2.55,Low,Tea,Brewed Chai tea,Tea,Spicy Eye Opener Chai Rg
12,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,07:44:35,Dawn,7,44,2,Small Order,5,Lower Manhattan,33,"3,5",3.50,7.00,Low,Coffee,Gourmet brewed coffee,Coffee,Ethiopia Lg
13,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,07:45:51,Dawn,7,45,1,Single,5,Lower Manhattan,51,3,3.00,3.00,Low,Tea,Brewed Black tea,Tea,Earl Grey Lg
14,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,07:48:19,Dawn,7,48,1,Single,5,Lower Manhattan,57,"3,1",3.10,3.10,Low,Tea,Brewed Chai tea,Tea,Spicy Eye Opener Chai Lg
15,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,07:52:36,Dawn,7,52,2,Small Order,5,Lower Manhattan,87,3,3.00,6.00,Low,Coffee,Barista Espresso,Drinks/Food,Ouro Brasileiro shot
16,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,07:59:58,Dawn,7,59,2,Small Order,5,Lower Manhattan,47,3,3.00,6.00,Low,Tea,Brewed Green tea,Tea,Serenity Green Tea Lg
17,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,07:59:58,Dawn,7,59,1,Single,5,Lower Manhattan,79,"3,75",3.75,3.75,Low,Bakery,Scone,Drinks/Food,Jumbo Savory Scone
18,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,08:00:18,Dawn,8,0,1,Single,8,Hell's Kitchen,42,"2,5",2.50,2.50,Low,Tea,Brewed herbal tea,Tea,Lemon Grass Rg
19,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,08:00:39,Dawn,8,0,2,Small Order,8,Hell's Kitchen,59,"4,5",4.50,9.00,Low,Drinking Chocolate,Hot chocolate,Drinks/Food,Dark chocolate Lg
20,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,08:11:45,Dawn,8,11,1,Single,8,Hell's Kitchen,61,"4,75",4.75,4.75,Low,Drinking Chocolate,Hot chocolate,Drinks/Food,Sustainably Grown Organic Lg
21,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,08:17:27,Dawn,8,17,2,Small Order,8,Hell's Kitchen,33,"3,5",3.50,7.00,Low,Coffee,Gourmet brewed coffee,Coffee,Ethiopia Lg
22,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,08:24:26,Dawn,8,24,2,Small Order,5,Lower Manhattan,56,"2,55",2.55,5.10,Low,Tea,Brewed Chai tea,Tea,Spicy Eye Opener Chai Rg
23,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,08:24:26,Dawn,8,24,1,Single,5,Lower Manhattan,69,"3,25",3.25,3.25,Low,Bakery,Biscotti,Drinks/Food,Hazelnut Biscotti
24,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,08:29:38,Dawn,8,29,1,Single,8,Hell's Kitchen,56,"2,55",2.55,2.55,Low,Tea,Brewed Chai tea,Tea,Spicy Eye Opener Chai Rg
25,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,08:31:23,Dawn,8,31,1,Single,8,Hell's Kitchen,40,"3,75",3.75,3.75,Low,Coffee,Barista Espresso,Drinks/Food,Cappuccino
26,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,08:33:08,Dawn,8,33,1,Single,5,Lower Manhattan,43,3,3.00,3.00,Low,Tea,Brewed herbal tea,Tea,Lemon Grass Lg
27,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,08:33:08,Dawn,8,33,1,Single,5,Lower Manhattan,76,"3,5",3.50,3.50,Low,Bakery,Biscotti,Drinks/Food,Chocolate Chip Biscotti
28,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,08:35:03,Dawn,8,35,2,Small Order,5,Lower Manhattan,45,3,3.00,6.00,Low,Tea,Brewed herbal tea,Tea,Peppermint Lg
29,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,08:35:03,Dawn,8,35,1,Single,5,Lower Manhattan,71,"3,75",3.75,3.75,Low,Bakery,Pastry,Drinks/Food,Chocolate Croissant
30,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,08:41:57,Dawn,8,41,2,Small Order,8,Hell's Kitchen,40,"3,75",3.75,7.50,Low,Coffee,Barista Espresso,Drinks/Food,Cappuccino
31,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,08:52:03,Dawn,8,52,1,Single,8,Hell's Kitchen,38,"3,75",3.75,3.75,Low,Coffee,Barista Espresso,Drinks/Food,Latte
32,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,08:52:32,Dawn,8,52,1,Single,5,Lower Manhattan,26,3,3.00,3.00,Low,Coffee,Organic brewed coffee,Coffee,Brazilian Rg
33,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,08:54:33,Dawn,8,54,2,Small Order,5,Lower Manhattan,27,"3,5",3.50,7.00,Low,Coffee,Organic brewed coffee,Coffee,Brazilian Lg
34,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,08:56:27,Dawn,8,56,2,Small Order,5,Lower Manhattan,29,"2,5",2.50,5.00,Low,Coffee,Gourmet brewed coffee,Coffee,Columbian Medium Roast Rg
35,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,08:57:46,Dawn,8,57,1,Single,8,Hell's Kitchen,54,"2,5",2.50,2.50,Low,Tea,Brewed Chai tea,Tea,Morning Sunrise Chai Rg
36,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,08:58:55,Dawn,8,58,1,Single,5,Lower Manhattan,26,3,3.00,3.00,Low,Coffee,Organic brewed coffee,Coffee,Brazilian Rg
37,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:00:12,Dawn,9,0,1,Single,5,Lower Manhattan,55,4,4.00,4.00,Low,Tea,Brewed Chai tea,Tea,Morning Sunrise Chai Lg
38,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:00:24,Dawn,9,0,2,Small Order,8,Hell's Kitchen,40,"3,75",3.75,7.50,Low,Coffee,Barista Espresso,Drinks/Food,Cappuccino
39,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:07:13,Dawn,9,7,1,Single,8,Hell's Kitchen,45,3,3.00,3.00,Low,Tea,Brewed herbal tea,Tea,Peppermint Lg
40,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:08:09,Dawn,9,8,2,Small Order,8,Hell's Kitchen,45,3,3.00,6.00,Low,Tea,Brewed herbal tea,Tea,Peppermint Lg
41,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:08:13,Dawn,9,8,1,Single,8,Hell's Kitchen,24,3,3.00,3.00,Low,Coffee,Drip coffee,Coffee,Our Old Time Diner Blend Lg
42,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:10:30,Dawn,9,10,2,Small Order,5,Lower Manhattan,60,"3,75",3.75,7.50,Low,Drinking Chocolate,Hot chocolate,Drinks/Food,Sustainably Grown Organic Rg
43,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:10:30,Dawn,9,10,1,Single,5,Lower Manhattan,78,"4,5",4.50,4.50,Low,Bakery,Scone,Drinks/Food,Scottish Cream Scone 
44,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:11:06,Dawn,9,11,1,Single,5,Lower Manhattan,56,"2,55",2.55,2.55,Low,Tea,Brewed Chai tea,Tea,Spicy Eye Opener Chai Rg
45,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:11:06,Dawn,9,11,1,Single,5,Lower Manhattan,77,3,3.00,3.00,Low,Bakery,Scone,Drinks/Food,Oatmeal Scone
46,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:13:01,Dawn,9,13,1,Single,5,Lower Manhattan,44,"2,5",2.50,2.50,Low,Tea,Brewed herbal tea,Tea,Peppermint Rg
47,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:13:15,Dawn,9,13,2,Small Order,5,Lower Manhattan,56,"2,55",2.55,5.10,Low,Tea,Brewed Chai tea,Tea,Spicy Eye Opener Chai Rg
48,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:14:16,Dawn,9,14,1,Single,5,Lower Manhattan,48,"2,5",2.50,2.50,Low,Tea,Brewed Black tea,Tea,English Breakfast Rg
49,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:14:17,Dawn,9,14,1,Single,8,Hell's Kitchen,23,"2,5",2.50,2.50,Low,Coffee,Drip coffee,Coffee,Our Old Time Diner Blend Rg
50,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:14:25,Dawn,9,14,1,Single,8,Hell's Kitchen,46,"2,5",2.50,2.50,Low,Tea,Brewed Green tea,Tea,Serenity Green Tea Rg
51,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:14:41,Dawn,9,14,1,Single,8,Hell's Kitchen,32,3,3.00,3.00,Low,Coffee,Gourmet brewed coffee,Coffee,Ethiopia Rg
52,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:15:09,Dawn,9,15,2,Small Order,5,Lower Manhattan,47,3,3.00,6.00,Low,Tea,Brewed Green tea,Tea,Serenity Green Tea Lg
53,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:15:13,Dawn,9,15,2,Small Order,5,Lower Manhattan,43,3,3.00,6.00,Low,Tea,Brewed herbal tea,Tea,Lemon Grass Lg
54,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:19:21,Dawn,9,19,2,Small Order,5,Lower Manhattan,25,"2,2",2.20,4.40,Low,Coffee,Organic brewed coffee,Coffee,Brazilian Sm
55,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:19:26,Dawn,9,19,1,Single,8,Hell's Kitchen,59,"4,5",4.50,4.50,Low,Drinking Chocolate,Hot chocolate,Drinks/Food,Dark chocolate Lg
56,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:21:08,Dawn,9,21,1,Single,5,Lower Manhattan,38,"3,75",3.75,3.75,Low,Coffee,Barista Espresso,Drinks/Food,Latte
57,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:22:17,Dawn,9,22,1,Single,8,Hell's Kitchen,45,3,3.00,3.00,Low,Tea,Brewed herbal tea,Tea,Peppermint Lg
58,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:22:46,Dawn,9,22,1,Single,5,Lower Manhattan,34,"2,45",2.45,2.45,Low,Coffee,Premium brewed coffee,Coffee,Jamaican Coffee River Sm
59,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:29:56,Dawn,9,29,2,Small Order,8,Hell's Kitchen,36,"3,75",3.75,7.50,Low,Coffee,Premium brewed coffee,Coffee,Jamaican Coffee River Lg
60,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:29:56,Dawn,9,29,1,Single,8,Hell's Kitchen,74,"3,5",3.50,3.50,Low,Bakery,Biscotti,Drinks/Food,Ginger Biscotti
61,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:29:57,Dawn,9,29,1,Single,8,Hell's Kitchen,53,3,3.00,3.00,Low,Tea,Brewed Chai tea,Tea,Traditional Blend Chai Lg
62,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:34:17,Dawn,9,34,2,Small Order,8,Hell's Kitchen,41,"4,25",4.25,8.50,Low,Coffee,Barista Espresso,Drinks/Food,Cappuccino Lg
63,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:40:13,Dawn,9,40,1,Single,5,Lower Manhattan,41,"4,25",4.25,4.25,Low,Coffee,Barista Espresso,Drinks/Food,Cappuccino Lg
64,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:41:22,Dawn,9,41,2,Small Order,5,Lower Manhattan,45,3,3.00,6.00,Low,Tea,Brewed herbal tea,Tea,Peppermint Lg
65,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:41:22,Dawn,9,41,1,Single,5,Lower Manhattan,79,"3,75",3.75,3.75,Low,Bakery,Scone,Drinks/Food,Jumbo Savory Scone
66,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:44:20,Dawn,9,44,2,Small Order,5,Lower Manhattan,54,"2,5",2.50,5.00,Low,Tea,Brewed Chai tea,Tea,Morning Sunrise Chai Rg
67,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:44:46,Dawn,9,44,1,Single,5,Lower Manhattan,24,3,3.00,3.00,Low,Coffee,Drip coffee,Coffee,Our Old Time Diner Blend Lg
68,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:46:46,Dawn,9,46,2,Small Order,5,Lower Manhattan,37,3,3.00,6.00,Low,Coffee,Barista Espresso,Drinks/Food,Espresso shot
69,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:47:40,Dawn,9,47,2,Small Order,8,Hell's Kitchen,40,"3,75",3.75,7.50,Low,Coffee,Barista Espresso,Drinks/Food,Cappuccino
70,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:50:44,Dawn,9,50,2,Small Order,5,Lower Manhattan,37,3,3.00,6.00,Low,Coffee,Barista Espresso,Drinks/Food,Espresso shot
71,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:50:44,Dawn,9,50,1,Single,5,Lower Manhattan,69,"3,25",3.25,3.25,Low,Bakery,Biscotti,Drinks/Food,Hazelnut Biscotti
72,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:52:58,Dawn,9,52,1,Single,5,Lower Manhattan,50,"2,5",2.50,2.50,Low,Tea,Brewed Black tea,Tea,Earl Grey Rg
73,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:53:28,Dawn,9,53,1,Single,8,Hell's Kitchen,47,3,3.00,3.00,Low,Tea,Brewed Green tea,Tea,Serenity Green Tea Lg
74,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:53:44,Dawn,9,53,2,Small Order,8,Hell's Kitchen,40,"3,75",3.75,7.50,Low,Coffee,Barista Espresso,Drinks/Food,Cappuccino
75,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:53:44,Dawn,9,53,1,Single,8,Hell's Kitchen,72,"3,25",3.25,3.25,Low,Bakery,Scone,Drinks/Food,Ginger Scone
76,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:53:49,Dawn,9,53,1,Single,8,Hell's Kitchen,35,"3,1",3.10,3.10,Low,Coffee,Premium brewed coffee,Coffee,Jamaican Coffee River Rg
77,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:54:46,Dawn,9,54,1,Single,5,Lower Manhattan,23,"2,5",2.50,2.50,Low,Coffee,Drip coffee,Coffee,Our Old Time Diner Blend Rg
78,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:55:16,Dawn,9,55,2,Small Order,5,Lower Manhattan,43,3,3.00,6.00,Low,Tea,Brewed herbal tea,Tea,Lemon Grass Lg
79,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,09:56:30,Dawn,9,56,1,Single,8,Hell's Kitchen,22,2,2.00,2.00,Low,Coffee,Drip coffee,Coffee,Our Old Time Diner Blend Sm
80,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,10:00:39,Dawn,10,0,2,Small Order,8,Hell's Kitchen,32,3,3.00,6.00,Low,Coffee,Gourmet brewed coffee,Coffee,Ethiopia Rg
81,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,10:03:55,Dawn,10,3,2,Small Order,8,Hell's Kitchen,36,"3,75",3.75,7.50,Low,Coffee,Premium brewed coffee,Coffee,Jamaican Coffee River Lg
82,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,10:14:49,Dawn,10,14,1,Single,5,Lower Manhattan,26,3,3.00,3.00,Low,Coffee,Organic brewed coffee,Coffee,Brazilian Rg
83,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,10:14:49,Dawn,10,14,1,Single,5,Lower Manhattan,71,"3,75",3.75,3.75,Low,Bakery,Pastry,Drinks/Food,Chocolate Croissant
84,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,10:16:30,Dawn,10,16,2,Small Order,5,Lower Manhattan,32,3,3.00,6.00,Low,Coffee,Gourmet brewed coffee,Coffee,Ethiopia Rg
85,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,10:16:33,Dawn,10,16,1,Single,8,Hell's Kitchen,54,"2,5",2.50,2.50,Low,Tea,Brewed Chai tea,Tea,Morning Sunrise Chai Rg
86,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,10:18:14,Dawn,10,18,2,Small Order,8,Hell's Kitchen,41,"4,25",4.25,8.50,Low,Coffee,Barista Espresso,Drinks/Food,Cappuccino Lg
87,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,10:18:52,Dawn,10,18,2,Small Order,5,Lower Manhattan,25,"2,2",2.20,4.40,Low,Coffee,Organic brewed coffee,Coffee,Brazilian Sm
88,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,10:19:42,Dawn,10,19,2,Small Order,5,Lower Manhattan,23,"2,5",2.50,5.00,Low,Coffee,Drip coffee,Coffee,Our Old Time Diner Blend Rg
89,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,10:24:19,Dawn,10,24,1,Single,8,Hell's Kitchen,54,"2,5",2.50,2.50,Low,Tea,Brewed Chai tea,Tea,Morning Sunrise Chai Rg
90,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,10:25:22,Dawn,10,25,2,Small Order,8,Hell's Kitchen,56,"2,55",2.55,5.10,Low,Tea,Brewed Chai tea,Tea,Spicy Eye Opener Chai Rg
91,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,10:25:45,Dawn,10,25,2,Small Order,5,Lower Manhattan,58,"3,5",3.50,7.00,Low,Drinking Chocolate,Hot chocolate,Drinks/Food,Dark chocolate Rg
92,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,10:25:45,Dawn,10,25,1,Single,5,Lower Manhattan,74,"3,5",3.50,3.50,Low,Bakery,Biscotti,Drinks/Food,Ginger Biscotti
93,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,10:27:48,Dawn,10,27,2,Small Order,8,Hell's Kitchen,47,3,3.00,6.00,Low,Tea,Brewed Green tea,Tea,Serenity Green Tea Lg
94,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,10:30:07,Dawn,10,30,1,Single,5,Lower Manhattan,35,"3,1",3.10,3.10,Low,Coffee,Premium brewed coffee,Coffee,Jamaican Coffee River Rg
95,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,10:30:07,Dawn,10,30,1,Single,5,Lower Manhattan,70,"3,25",3.25,3.25,Low,Bakery,Scone,Drinks/Food,Cranberry Scone
96,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,10:35:47,Dawn,10,35,1,Single,8,Hell's Kitchen,60,"3,75",3.75,3.75,Low,Drinking Chocolate,Hot chocolate,Drinks/Food,Sustainably Grown Organic Rg
97,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,10:41:53,Dawn,10,41,1,Single,5,Lower Manhattan,59,"4,5",4.50,4.50,Low,Drinking Chocolate,Hot chocolate,Drinks/Food,Dark chocolate Lg
98,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,10:47:53,Dawn,10,47,2,Small Order,5,Lower Manhattan,36,"3,75",3.75,7.50,Low,Coffee,Premium brewed coffee,Coffee,Jamaican Coffee River Lg
99,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,10:49:13,Dawn,10,49,2,Small Order,8,Hell's Kitchen,51,3,3.00,6.00,Low,Tea,Brewed Black tea,Tea,Earl Grey Lg
100,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,10:49:51,Dawn,10,49,2,Small Order,5,Lower Manhattan,61,"4,75",4.75,9.50,Low,Drinking Chocolate,Hot chocolate,Drinks/Food,Sustainably Grown Organic Lg
101,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,10:51:17,Dawn,10,51,1,Single,5,Lower Manhattan,47,3,3.00,3.00,Low,Tea,Brewed Green tea,Tea,Serenity Green Tea Lg
102,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,10:52:44,Dawn,10,52,2,Small Order,8,Hell's Kitchen,23,"2,5",2.50,5.00,Low,Coffee,Drip coffee,Coffee,Our Old Time Diner Blend Rg
103,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,10:52:44,Dawn,10,52,1,Single,8,Hell's Kitchen,73,"3,75",3.75,3.75,Low,Bakery,Pastry,Drinks/Food,Almond Croissant
104,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,10:56:14,Dawn,10,56,1,Single,5,Lower Manhattan,38,"3,75",3.75,3.75,Low,Coffee,Barista Espresso,Drinks/Food,Latte
105,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,10:56:14,Dawn,10,56,1,Single,5,Lower Manhattan,76,"3,5",3.50,3.50,Low,Bakery,Biscotti,Drinks/Food,Chocolate Chip Biscotti
106,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,11:01:48,Dawn,11,1,1,Single,3,Astoria,22,2,2.00,2.00,Low,Coffee,Drip coffee,Coffee,Our Old Time Diner Blend Sm
107,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,11:01:58,Dawn,11,1,1,Single,3,Astoria,38,"3,75",3.75,3.75,Low,Coffee,Barista Espresso,Drinks/Food,Latte
108,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,11:01:58,Dawn,11,1,1,Single,3,Astoria,75,"3,5",3.50,3.50,Low,Bakery,Pastry,Drinks/Food,Croissant
109,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,11:03:25,Dawn,11,3,2,Small Order,5,Lower Manhattan,47,3,3.00,6.00,Low,Tea,Brewed Green tea,Tea,Serenity Green Tea Lg
110,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,11:03:25,Dawn,11,3,1,Single,5,Lower Manhattan,75,"3,5",3.50,3.50,Low,Bakery,Pastry,Drinks/Food,Croissant
111,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,11:04:32,Dawn,11,4,2,Small Order,8,Hell's Kitchen,39,"4,25",4.25,8.50,Low,Coffee,Barista Espresso,Drinks/Food,Latte Rg
112,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,11:08:11,Dawn,11,8,1,Single,3,Astoria,59,"4,5",4.50,4.50,Low,Drinking Chocolate,Hot chocolate,Drinks/Food,Dark chocolate Lg
113,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,11:08:59,Dawn,11,8,2,Small Order,8,Hell's Kitchen,51,3,3.00,6.00,Low,Tea,Brewed Black tea,Tea,Earl Grey Lg
114,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,11:09:01,Dawn,11,9,1,Single,3,Astoria,59,"4,5",4.50,4.50,Low,Drinking Chocolate,Hot chocolate,Drinks/Food,Dark chocolate Lg
